Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $126/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Text
0xb9e83c234d9fce5030f409949484977ab5d482dc164a562b023d7c19353d63d2,1487942,1462829512,5/9/2016 21:31,0x40b9b889a21ff1534d018d71dc406122ebcf3f5a,0x04786aada9deea2150deab7b3b8911c309f5ed90,,9999.5,0,1259937,0.00042,0.05292,9.32,
0x1aa0a34eb3c93cf202aa6fe1751e8625cea6556008ae3034dc2ae8fcf9b4a06c,1491855,1462885929,5/10/2016 13:12,0x40b9b889a21ff1534d018d71dc406122ebcf3f5a,0x04786aada9deea2150deab7b3b8911c309f5ed90,,9999,0,1259874,0.00042,0.05292,9.39,
0xd38d6be7f9ea6587bd9ee160e130b043cb5da595006adb5b5ff189888f5db4d2,1491931,1462886951,5/10/2016 13:29,0x40b9b889a21ff1534d018d71dc406122ebcf3f5a,0x04786aada9deea2150deab7b3b8911c309f5ed90,,3479,0,438354,0.00042,0.05292,9.39,
0x8ebd2114430abce66375e5bf8eb82fd21380ebfd200a039a484a7cddfdf2f24a,1492025,1462888157,5/10/2016 13:49,0x40b9b889a21ff1534d018d71dc406122ebcf3f5a,0x04786aada9deea2150deab7b3b8911c309f5ed90,,3401,0,428526,0.00042,0.05292,9.39,
0x5248883cfc7f7de674a1aa736f47457c62ae11475134805bb6f79d85445c98d1,1492404,1462893417,5/10/2016 15:16,0x40b9b889a21ff1534d018d71dc406122ebcf3f5a,0x04786aada9deea2150deab7b3b8911c309f5ed90,,3078,0,387828,0.00042,0.05292,9.39,
0xfc5145b6356a2e3e353b8ef793bd67538d3ed3089e5769c4e0f101b8a861dcb3,1500382,1463009512,5/11/2016 23:31,0x40b9b889a21ff1534d018d71dc406122ebcf3f5a,0x04786aada9deea2150deab7b3b8911c309f5ed90,,7894,0,994644,0.00042,0.05292,9.97,
0x69b054c994419d528565c5e14d5648534f81818f3b4682ce84d1815e51b9d06a,1500514,1463011113,5/11/2016 23:58,0x40h9b889a21ff1534d018d71dc406122ebcf3f5a,0x04786aada9deea2150deab7b3b8911c309f5ed90,,2050,0,258300,0.00042,0.05292,9.97,
0x01df47300ba3ba2553520b73d01c39d016af423e6bd434b2e92174cd62082685,1504459,1463066612,5/12/2016 15:23,0x04786aada9deea2150deab7b3b8911c309f5ed90,0xc062dceed93087c9112ff7b02d53e928e49cec09,,0,5000,630000,0.00042,0.05292,10.1,
0x8967bb1414c8f3466371f71aa518fd9eecc199b6acd5c652c0e0acd5bab0ad93,1504582,1463068480,5/12/2016 15:54,0x04786aada9deea2150deab7b3b8911c309f5ed90,0x3a08d18f47a7a3de10c2d4eb530f9b0dcfd60305,,0,2000,252000,0.00042,0.05292,10.1,
0x8707f7ae63ea4c7baaa8d48c46e5980b37c7360294baeb3502ea7cd6ca69ad0c,1504658,1463069466,5/12/2016 16:11,0x04786aada9deea2150deab7b3b8911c309f5ed90,0x96fC4553a00C117C5b0bED950Dd625d1c16Dc894,,0,2000,252000,0.00042,0.05292,10.1,
0xf0bd2599ca5aaf215bde3f533bb54ef974f0b5dafad8b199e817455ea1db291e,1506290,1463092888,5/12/2016 22:41,0x40b9b889a21ff1534d018d71dc406122ebcf3f5a,0x04786aada9deea2150deab7b3b8911c309f5ed90,,9999,0,1259874,0.00042,0.05292,10.1,
